species_name,class,max_obs_length_cm
Dendrodoris krusensternii,Gastropoda,10
Dicathais orbita,Gastropoda,10
Echinometra mathaei,Echinoidea,10
Exallias brevis,Actinopterygii,10
Exyrias belissimus,Actinopterygii,10
Forcipiger flavissimus,Actinopterygii,10
Forsterygion varium,Actinopterygii,10
Goniobranchus collingwoodi,Gastropoda,10
Goniocidaris tubaria,Echinoidea,10
Halichoeres margaritaceus,Actinopterygii,10
Halichoeres prosopeion,Actinopterygii,10
Himerometra magnipinna,Crinoidea,10
Hypselodoris bennetti,Gastropoda,10
Istigobius hoesei,Actinopterygii,10
Koumansetta rainfordi,Actinopterygii,10
Lactoria cornuta,Actinopterygii,10
Lambis lambis,Gastropoda,10
Linckia laevigata,Asteroidea,10
Macropharyngodon choati,Actinopterygii,10
Macropharyngodon meleagris,Actinopterygii,10
Maoricolpus roseus,Gastropoda,10
Miamira magnifica,Gastropoda,10
Nembrotha purpureolineata,Gastropoda,10
Neoglyphidodon polyacanthus,Actinopterygii,10
Notocirrhitus splendens,Actinopterygii,10
Ostracion meleagris,Actinopterygii,10
Parupeneus heptacanthus,Actinopterygii,10
Patiriella regularis,Asteroidea,10
Pempheris oualensis,Actinopterygii,10
Petroscirtes lupus,Actinopterygii,10
Plagiotremus rhinorhynchos,Actinopterygii,10
Plectroglyphidodon dickii,Actinopterygii,10
Plectroglyphidodon johnstonianus,Actinopterygii,10
Plocamopherus imperialis,Gastropoda,10
Plotosus lineatus,Actinopterygii,10
Polycera capensis,Gastropoda,10
Pomacentrus amboinensis,Actinopterygii,10
Pomacentrus bankanensis,Actinopterygii,10
Pomacentrus brachialis,Actinopterygii,10
Pomacentrus coelestis,Actinopterygii,10
Pomacentrus moluccensis,Actinopterygii,10
Pseudanthias squamipinnis,Actinopterygii,10
Rhynchocinetes serratus,Malacostraca,10
Scorpaena papillosa,Actinopterygii,10
Scorpaenodes evides,Actinopterygii,10
Scorpaenodes scaber,Actinopterygii,10
Stegastes fasciolatus,Actinopterygii,10
Stenopus hispidus,Malacostraca,10
Strigopagurus strigimanus,Malacostraca,10
Trapezia septata,Malacostraca,10
Trochus niloticus,Gastropoda,10
Turbo torquatus,Gastropoda,10
Uniophora granifera,Asteroidea,10
Upeneus tragula,Actinopterygii,10
Valenciennea longipinnis,Actinopterygii,10
Vincentia novaehollandiae,Actinopterygii,10
Acanthurus albipectoralis,Actinopterygii,7.5
Amblyeleotris guttata,Actinopterygii,7.5
Amblyeleotris wheeleri,Actinopterygii,7.5
Amblyglyphidodon leucogaster,Actinopterygii,7.5
Amblygobius nocturnus,Actinopterygii,7.5
Aplysia juliana,Gastropoda,7.5
Aplysia parvula,Gastropoda,7.5
Apogon apogonides,Actinopterygii,7.5
Apogon capricornis,Actinopterygii,7.5
Aseraggodes lenisquamis,Actinopterygii,7.5
Atherinomorus vaigiensis,Actinopterygii,7.5
Atypichthys latus,Actinopterygii,7.5
Bathygobius krefftii,Actinopterygii,7.5
Cabestana tabulata,Gastropoda,7.5
Canthigaster axiologus,Actinopterygii,7.5
Canthigaster valentini,Actinopterygii,7.5
Centropyge bispinosa,Actinopterygii,7.5
Cheilodipterus isostigmus,Actinopterygii,7.5
Chromis viridis,Actinopterygii,7.5
Chrysiptera rollandi,Actinopterygii,7.5
Cochleoceps orientalis,Actinopterygii,7.5
Conus capitaneus,Gastropoda,7.5
Conus miles,Gastropoda,7.5
Conus rattus,Gastropoda,7.5
