ecoregion,site_code,bin_mid,norm_density,lat,lon
Manning-Hawkesbury,SYD1,109.254833995939,0.00266735434560398,-33.85186,151.21997
Manning-Hawkesbury,SYD3,109.254833995939,0.00397435797494993,-33.86328,151.24196
Manning-Hawkesbury,SYD30,109.254833995939,0.0205853071621987,-33.841655,151.253968
Manning-Hawkesbury,SYD31,109.254833995939,0.025734041980977,-33.840111,151.277492
Manning-Hawkesbury,SYD37,109.254833995939,0.0233783349337013,-33.83036,151.26378
Manning-Hawkesbury,SYD6,109.254833995939,0.00412550805453415,-33.85595,151.26602
Manning-Hawkesbury,SYD9,109.254833995939,0.004694543648263,-33.852053,151.263956
Bassian,TAS26,109.254833995939,0.000373429608384557,-43.14242,147.29123
Bassian,TAS43,109.254833995939,0.00725520382004282,-43.08944,147.30101
Bassian,TAS84,109.254833995939,0.0256332752612542,-41.87563,148.31159
Bassian,TAS88,109.254833995939,0.00040899433299261,-41.87094,148.31732
Cape Howe,BS-S8,154.509667991878,0.00149945295475516,-39.21514893,146.9923859
Bassian,DE4,154.509667991878,0.000924191129345949,-42.90611,147.3447
Bassian,DE46,154.509667991878,0.000653849506476046,-42.861017,147.3501
Bassian,DE7,154.509667991878,0.000301776695296637,-43.01334,147.33089
Lord Howe and Norfolk Islands,EMR1,154.509667991878,0.00551685521089164,-29.45103,159.06227
Lord Howe and Norfolk Islands,EMR18,154.509667991878,0.000612983912321293,-29.92554,159.0511
Lord Howe and Norfolk Islands,EMR2,154.509667991878,0.00115052365081843,-29.45683,159.0622
Lord Howe and Norfolk Islands,EMR20,154.509667991878,0.000367790347392776,-29.93192,159.06155
Lord Howe and Norfolk Islands,EMR25,154.509667991878,0.000716719651329512,-29.91181,159.08131
Lord Howe and Norfolk Islands,EMR37,154.509667991878,0.000150888347648318,-29.48267,159.06495
Lord Howe and Norfolk Islands,EMR42,154.509667991878,0.00115052365081843,-29.94249,159.0847
Lord Howe and Norfolk Islands,EMR5,154.509667991878,0.000952482694530009,-29.44269,159.06088
Lord Howe and Norfolk Islands,EMR8,154.509667991878,0.00125425938982665,-29.44563,159.09369
Central and Southern Great Barrier Reef,GBR24,154.509667991878,0.00417772112551281,-19.81261,149.13292
Central and Southern Great Barrier Reef,GBR27,154.509667991878,0.00298004486605429,-19.79517,149.07878
Central and Southern Great Barrier Reef,GBR76,154.509667991878,0.0018012296500518,-19.80832,149.06582
Cape Howe,JBMP25,154.509667991878,0.00124482886809863,-35.06756,150.68239
Cape Howe,JBMP6,154.509667991878,0.00918532816309137,-35.13676,150.76428
Cape Howe,KG-S13,154.509667991878,0.0036496119087437,-39.44477844,147.3012238
Cape Howe,KG-S15,154.509667991878,0.00182009069350784,-39.49295044,147.3421478
